	Domain	Phylum	Class	Order	Family	Genus	Species
5cd8178d7fa02b485727ee8531af0bca	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	unknown	unknown
8078c829d7720feeaca26fe5ac3ce9a8	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	unknown
828d517adf900140b7c45e39703e1273	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_soil
5eeb3c0184a02e2953b664230d680af0	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_soil
ea5da22979b53d5dace964511f6fb366	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_soil
b971d3325abea737c064fd4115a7b8ff	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae	 g__Ammoniphilus	unknown
4d979cdf6a1977bc943f72decfb903c4	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__Fimbriiglobus	 s__Fimbriiglobus_ruber
d637a8a55e9fd5d8a74bea6bc1b1ad5a	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_Bellilinea
6ff6d3b3806f6cf28af15cf52b9593f6	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Gemmatimonadetes
ce2fde8212217fd356bf082fafd787b3	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pir4_lineage	 s__uncultured_Pirellula
82432ef9a5513d8688f5086ab44a6c2a	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Blastopirellula	 s__metagenome
5de8de4d290b918413e0e3fb60e197ab	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pir4_lineage	 s__uncultured_Planctomycetaceae
